,price
0,229.24000549316406
1,231.85837318727653
2,230.3681142115315
3,232.3512514961914
4,240.68960568974254
5,227.13922525558192
6,226.0052248934547
7,228.09656530365086
8,231.9699011179115
9,241.26280659010123
10,245.36412139317997
11,238.76455225380315
12,243.87838228481462
13,245.63426078284596
14,252.94962179586122
15,250.55948793409118
16,260.10023854588417
17,273.6233512173574
18,270.00440022420014
19,260.3699002373367
20,267.203156608212
21,262.2356299160715
22,259.8848736864978
23,263.42022012636335
24,259.3256464108499
25,264.69015151442113
26,263.97143528125
27,268.3253151716387
28,270.206557208124
29,270.16914931022495
30,260.5791845097237
31,250.11957572858844
32,248.4176846994596
33,255.3523144562206
34,266.0987235177736
35,263.80886338064585
36,267.5258881390042
37,275.0500756446481
38,274.2565232908276
39,285.02097388264707
40,282.0015331163461
41,282.4927815542389
42,277.4513908842748
43,286.89793253873336
44,277.0989769145482
45,271.2428507486361
46,273.16232005270666
47,277.98527938905323
48,273.97843213838485
49,280.7468172953842
50,295.85182765957126
51,298.3989257435502
52,281.71732402752355
53,295.1882276269319
54,295.2962605334016
55,300.13111494732965
56,314.0067370964088
57,306.31251590022833
58,309.11630040935665
59,322.08625618529675
60,338.9995080530778
61,350.0510113706893
62,347.73478299442746
63,371.9834429850841
64,364.31539041562735
65,363.357031133131
66,352.24561976772503
67,393.77538630691515
68,395.9133777756772
69,402.9208105227653
70,407.7262429441979
71,408.6321001990489
72,409.6844770354666
73,404.69196470445047
74,395.82576363740776
75,398.9404172151476
76,391.5770939857188
77,394.95506707643295
78,405.3530010387606
79,413.9660678813246
80,413.156392159769
81,415.94944982357174
82,405.678815942307
83,405.7436147455395
84,420.095269583309
85,419.13945005427
86,411.98585806662226
87,404.21065265115465
88,409.57480052914883
89,439.4702197075988
90,437.8623408474279
91,433.99699007222864
92,446.68742273927694
93,446.4093151817389
94,444.24335836150544
95,434.608363031608
96,429.1091803679177
97,427.63351501689596
98,436.74214291411784
99,445.2935376183886
100,441.6890610588172
101,447.0913548285338
102,454.4925949118358
103,456.5460922822246
104,479.33084627241976
105,472.11314619806245
106,496.70776118787484
107,492.0078570950707
108,497.08699933236716
109,498.58402970490516
110,507.8789621465646
111,512.2709126630878
112,522.9754713477008
113,519.5304159352983
114,520.1774317228916
115,535.8619992575897
116,531.5259166297636
117,528.0745635333739
118,520.8304478923936
119,534.662590223391
120,537.4398126498584
121,514.7542186825368
122,465.5884406330696
123,470.7394559572261
124,489.3980734495892
125,489.6771087396907
126,514.6022962592267
127,504.9122932751031
128,489.5017188069715
129,491.61681115081234
130,494.99851290562856
131,480.96294625921155
132,486.2466999750444
133,501.5656281442045
134,494.7551093895079
135,482.7673227909863
136,487.74047210238336
137,489.562862998931
138,491.31706038507497
139,492.20868575071404
140,488.11551112179865
141,479.6115208097239
142,475.8740306158251
143,479.143689422134
144,502.8640040993965
145,503.0154694111341
146,479.23098776973984
147,476.70826914625184
148,476.8422820695553
149,476.9395148532156
150,472.6368264544499
151,464.2295328598638
152,470.6666800241065
153,478.32076952224503
154,472.70771247508134
155,442.5204548298434
156,426.63795681222246
157,440.1370166107748
158,424.4555354124263
159,430.5601255747235
160,449.7846136558685
161,453.82071798850853
162,457.2899801058341
163,472.01630446068185
164,467.1425901777105
165,461.34805402410746
166,461.51306035072287
167,448.41701978627367
168,449.28052160080085
169,451.78888322515996
170,440.4087350905836
171,456.67633155624884
172,469.3314701720904
173,473.42549724307105
174,459.44881129475874
175,470.0581449777368
176,464.8586733353702
177,464.4863150810383
178,462.6701349609342
179,455.51690457166546
180,465.7591379732818
181,458.65559603162006
182,464.43460311058647
183,468.57912906783696
184,459.6060124363086
185,440.90823850317537
186,430.207289775155
187,429.12223448448384
188,430.9582881979488
189,442.0558750256268
190,455.8120218859473
191,456.4757437343027
192,469.0961081301653
193,465.2923926801721
194,460.06858072253
195,477.1353444132111
196,479.4890519077744
197,449.9915869780012
198,436.7376550707989
199,426.2468152677133
200,423.2931941410719
201,420.8031774303105
202,425.4767219970873
203,425.568336530557
204,429.75356163726843
205,432.7085439004375
206,421.77333001000324
207,418.6178620230334
208,420.2976920633827
209,411.64865666466574
210,425.2224206152697
211,410.40783420636336
212,405.70798241678364
213,392.94967930740506
214,386.2995345751148
215,377.5896730086722
216,391.95182437888207
217,398.91582124564167
218,393.0028303180112
219,405.4518554634737
220,403.5623428994289
221,419.88156988798016
222,436.4863192852136
223,424.5134132968429
224,414.6963124488919
225,418.07034496977855
226,431.46569314647917
227,429.38973125506186
228,432.0795182076968
229,431.1949240398936
230,431.77957363502077
231,444.0880167726887
232,463.7968937731118
233,465.83575607374615
234,481.3778736307779
235,514.8793337798742
236,493.3912319648458
237,471.4151556672028
238,488.66760969815584
239,478.3706672732951
240,482.07513739527286
241,497.26356340292875
242,502.7908730491195
243,507.2825823828288
244,514.9421480666124
245,504.51729303834594
246,496.9914014093824
247,493.0324202471856
248,516.1892393237703
249,540.5251737487048
250,542.4905064148844
251,547.1624599178244
252,572.7230855829149
